name,domain,address,type,id.jisc,id.ukprn,id.isni,id.ringgold,id.gokb,id.ncsu-olnd-uri,id.viaf,id.freebase-uri,id.lccn,id.dbpedia-uri,id.dnb-uri,id.juliet,id.doi,funder_group,membership_org
Highline Financial,,,Publisher,,,,,5312,http://www.lib.ncsu.edu/ld/onld/00001711,138750981,,no2007064691,,,,,,false
Highwire Press,,,Publisher,,,,,5316,http://www.lib.ncsu.edu/ld/onld/00000012,155096575,http://rdf.freebase.com/ns/m/0drqm2,no99076497,http://dbpedia.org/resource/HighWire_Press,,,,,false
Hindawi,,,Publisher,,,,,5322,http://www.lib.ncsu.edu/ld/onld/00001368,266959199,http://rdf.freebase.com/ns/m/0fxf9g,no2004049935,http://dbpedia.org/resource/Hindawi_Publishing_Corporation,,,,,false
Historic New England,,,Publisher,,,,,5328,http://www.lib.ncsu.edu/ld/onld/00001025,143270169,http://rdf.freebase.com/ns/m/06_3lg,n2004011839,http://dbpedia.org/resource/Historic_New_England,,,,,false
History.com,,,Publisher,,,,,5334,http://www.lib.ncsu.edu/ld/onld/00001026,,,,http://dbpedia.org/resource/History.com,,,,,false
Hoffman's Bookshop,,,Publisher,,,,,5337,http://www.lib.ncsu.edu/ld/onld/00001577,,,,,,,,,false
Hokkaido Daigaku,,,Publisher,,,,,5339,http://www.lib.ncsu.edu/ld/onld/00001352,131944325,,n80126252,,,,,,false
Hokkaido University. Graduate School of Agriculture,,,Publisher,,,,,5343,http://www.lib.ncsu.edu/ld/onld/00001578,127582885,,no2001011956,,,,,,false
Holtzbrinck Publishers,,,Publisher,,,,,5347,http://www.lib.ncsu.edu/ld/onld/00001579,,http://rdf.freebase.com/ns/m/05pw7bs,,http://dbpedia.org/resource/Georg_von_Holtzbrinck_Publishing_Group,,,,,false
Honor Society of Phi Kappa Phi,,,Publisher,,,0000000114976993,,5351,http://www.lib.ncsu.edu/ld/onld/00000067,121635119,http://rdf.freebase.com/ns/m/081cd6,n85092697,http://dbpedia.org/resource/The_Honor_Society_of_Phi_Kappa_Phi,,,,,false
Hoover Institution Press,,,Publisher,,,0000000121118196,,5358,http://www.lib.ncsu.edu/ld/onld/00000066,150385318,,no93013904,http://dbpedia.org/resource/Hoover_Institution_Press,,,,,false
Alexandrine Press,,,Publisher,,,,,536,http://www.lib.ncsu.edu/ld/onld/00000767,17943673,,n83724814,,,,,,false
Houghton Mifflin Harcourt,,,Publisher,,,,,5364,http://www.lib.ncsu.edu/ld/onld/00001263,159556432,http://rdf.freebase.com/ns/m/03ybkp,n79073908,http://dbpedia.org/resource/Houghton_Mifflin_Harcourt,,,,,false
"Howard Karno Books, Inc.",,,Publisher,,,,,5370,http://www.lib.ncsu.edu/ld/onld/00001028,,,,,,,,,false
Hrvatsko kemijsko društvo,,,Publisher,,,0000000110876733,,5372,http://www.lib.ncsu.edu/ld/onld/00000489,127295209,,n83074545,,,,,,false
Human Factors & Ergonomics Society,,,Publisher,,,0000000121826416,,5377,http://www.lib.ncsu.edu/ld/onld/00000676,149652012,http://rdf.freebase.com/ns/m/07k9v_4,no93023229,http://dbpedia.org/resource/Human_Factors_and_Ergonomics_Society,,,,,false
Human Kinetics,,,Publisher,,,0000000106932317,,5384,http://www.lib.ncsu.edu/ld/onld/00000797,138879332,http://rdf.freebase.com/ns/m/0414677,n87933115,http://dbpedia.org/resource/Human_Kinetics,,,,,false
Humana Press,,,Publisher,,,0000000106904877,,5391,http://www.lib.ncsu.edu/ld/onld/00000389,265613042,http://rdf.freebase.com/ns/m/02x08nm,no2004056707,http://dbpedia.org/resource/Humana_Press,,,,,false
Huron Tribune,,,Publisher,,,,,5398,http://www.lib.ncsu.edu/ld/onld/00000519,,http://rdf.freebase.com/ns/m/0405p_d,,http://dbpedia.org/resource/Huron_Daily_Tribune,,,,,false
A.M. Church,,,Publisher,,,,,54,http://www.lib.ncsu.edu/ld/onld/00000521,,,,,,,,,false
"Alfred A. Knopf, Inc.",,,Publisher,,,0000000120344562,,540,http://www.lib.ncsu.edu/ld/onld/00001232,142395924,http://rdf.freebase.com/ns/m/06bh1w,n50062227,http://dbpedia.org/resource/Alfred_A._Knopf,,,,,false
